LGA,Period,Number
Camden LGA,2001,"45,167"
Camden LGA,2006,"50,632"
Camden LGA,2011,"58,440"
Camden LGA,2016,"80,268"
Camden LGA,2021,"120,083"
Camden LGA,2026,"123,825"
Camden LGA,2031,"144,862"
Campbelltown LGA,2001,"149,188"
Campbelltown LGA,2006,"146,534"
Campbelltown LGA,2011,"151,172"
Campbelltown LGA,2016,"161,562"
Campbelltown LGA,2021,"177,778"
Campbelltown LGA,2026,"182,877"
Campbelltown LGA,2031,"197,461"
Canterbury-Bankstown LGA,2001,"307,592"
Canterbury-Bankstown LGA,2006,"310,578"
Canterbury-Bankstown LGA,2011,"335,940"
Canterbury-Bankstown LGA,2016,"361,862"
Canterbury-Bankstown LGA,2021,"372,459"
Canterbury-Bankstown LGA,2026,"392,255"
Canterbury-Bankstown LGA,2031,"411,116"
Fairfield LGA,2001,"187,825"
Fairfield LGA,2006,"186,117"
Fairfield LGA,2011,"196,479"
Fairfield LGA,2016,"205,675"
Fairfield LGA,2021,"209,066"
Fairfield LGA,2026,"213,990"
Fairfield LGA,2031,"222,479"
Liverpool LGA,2001,"158,027"
Liverpool LGA,2006,"169,868"
Liverpool LGA,2011,"188,088"
Liverpool LGA,2016,"211,983"
Liverpool LGA,2021,"234,505"
Liverpool LGA,2026,"245,684"
Liverpool LGA,2031,"268,154"
Wingecarribee LGA,2001,"42,384"
Wingecarribee LGA,2006,"43,532"
Wingecarribee LGA,2011,"46,126"
Wingecarribee LGA,2016,"48,998"
Wingecarribee LGA,2021,"52,489"
Wingecarribee LGA,2026,"56,311"
Wingecarribee LGA,2031,"61,227"
Wollondilly LGA,2001,"38,178"
Wollondilly LGA,2006,"40,969"
Wollondilly LGA,2011,"44,607"
Wollondilly LGA,2016,"49,854"
Wollondilly LGA,2021,"54,196"
Wollondilly LGA,2026,"58,561"
Wollondilly LGA,2031,"65,574"
